"CO_ESCOLA";"CO_MUNICIPIO_ESC"
25094408;2507507
25094416;2507507
25094432;2507507
25094440;2507507
25094459;2507507
25094556;2507507
25094629;2507507
25094637;2507507
25094653;2507507
25094661;2507507
25094670;2507507
25094688;2507507
25094696;2507507
25094726;2507507
25094742;2507507
25094750;2507507
25094777;2507507
25095013;2507507
25095021;2507507
25095048;2507507
25095056;2507507
25095072;2507507
25095080;2507507
25095153;2507507
25096702;2507507
25097091;2507507
25097725;2507507
25097733;2507507
25098357;2507507
25098390;2507507
25098632;2508604
25099116;2513703
25099124;2513703
25099159;2513703
25099175;2513703
25099183;2513703
25099256;2513703
25099299;2513703
25099507;2513703
25099957;2513703
25100033;2500601
25100459;2503001
25100696;2511202
25101072;2511905
25101099;2511905
25101978;2501401
25102519;2500601
25103563;2510808
25104071;2507507
25104306;2507507
25104330;2507507
25110780;2504157
25111337;2504009
25114433;2504009
25114484;2507507
25114506;2507507
25114808;2504009
25115049;2507507
25115219;2510907
25115359;2509701
25115723;2511400
25116762;2513703
25117459;2504009
25117521;2511202
25117688;2504009
25117700;2502508
25117858;2504009
25117866;2504009
25118358;2507705
25118579;2501534
25119095;2504009
25120670;2504009
25120751;2503001
25120760;2509057
25120778;2501401
25120859;2510501
25121073;2513901
25122401;2515971
25122533;2508901
25122908;2503506
25123203;2505352
25123297;2516755
25123696;2507507
25123998;2504009
25124277;2507507
25125559;2507002
25126180;2507507
25126342;2517209
25126350;2515302
25126415;2512507
25127470;2507507
25127594;2501807
25127659;2505105
25127977;2508901
25128000;2504009
25128337;2507507
25128418;2513703
25128809;2509057
25129279;2505105
25129309;2507507
25138200;2507507
25146009;2509057
25151401;2504009
25152408;2511400
25152815;2504009
25152823;2500577
25153200;2511103
25191802;2507507
